word,language
governanta,pt
mordomo,pt
jardineiro,pt
piscineiro,pt
lavador de carros,pt
frentista,pt
manobrista,pt
valet,pt
cobrador,pt
fiscal,pt
auditor,pt
analista fiscal,pt
analista tributario,pt
consultor financeiro,pt
planejador financeiro,pt
analista de investimentos,pt
trader,pt
corretor de valores,pt
bancario,pt
caixa,pt
tesoureiro,pt
diretor financeiro,pt
controller,pt
analista de custos,pt
faturista,pt
auxiliar administrativo,pt
assistente administrativo,pt
tecnico em administracao,pt
analista de recursos humanos,pt
recrutador,pt
headhunter,pt
analista de cargos e salarios,pt
analista de treinamento,pt
gestor de pessoas,pt
diretor de rh,pt
psicologo organizacional,pt
analista de marketing,pt
analista de mídias sociais,pt
gestor de trafego,pt
copywriter,pt
redator,pt
diretor de arte,pt
planejador estrategico,pt
analista de branding,pt
gerente de produto,pt
gerente de marcas,pt
relações públicas,pt
assessor de imprensa,pt
lobista,pt
diplomata,pt
embaixador,pt
consul,pt
analista internacional,pt
tradutor juramentado,pt
professor universitario,pt
pesquisador cientifico,pt
coordenador pedagogico,pt
diretor escolar,pt
orientador educacional,pt
supervisor de ensino,pt
inspetor de alunos,pt
professor de educacao infantil,pt
professor de ensino fundamental,pt
professor de ensino medio,pt
professor de idiomas,pt
professor de musica,pt
professor de dança,pt
professor de teatro,pt
instrutor de autoescola,pt
instrutor de voo,pt
instrutor de pilates,pt
instrutor de yoga,pt
personal trainer,pt
preparador fisico,pt
tecnico de futebol,pt
treinador,pt
atleta profissional,pt
jogador de futebol,pt
jogador de basquete,pt
jogador de volei,pt
tenista,pt
nadador,pt
corredor,pt
maratonista,pt
ciclista profissional,pt
lutador,pt
pugilista,pt
judoca,pt
carateca,pt
esgrimista,pt
ginasta,pt
surfista,pt
skatista,pt
piloto de corrida,pt
jockey,pt
arbitro,pt
juiz de linha,pt
cronometrista,pt
comentarista esportivo,pt
jornalista esportivo,pt
locutor,pt
narrador,pt
apresentador de tv,pt
reporter,pt
ancora,pt
radialista,pt
sonoplasta,pt
dj,pt
produtor musical,pt
engenheiro de som,pt
tecnico de som,pt
roadie,pt
iluminador,pt
cenografo,pt
figurinista,pt
camareira,pt
maquiador cenico,pt
contra-regra,pt
bilheteiro,pt
lanterninha,pt
pipoqueiro,pt
sorveteiro,pt
doceiro,pt
salgadeiro,pt
churrasqueiro,pt
pizzaiolo,pt
sushiman,pt
crepeiro,pt
chapeiro,pt
balconista,pt
repositor,pt
estoquista,pt
conferente,pt
separador,pt
embalador,pt
carregador,pt
chapa,pt
ajudante geral,pt
servente de pedreiro,pt
armador,pt
carpinteiro de formas,pt
calceteiro,pt
asfaltador,pt
operador de retroescavadeira,pt
operador de guindaste,pt
operador de empilhadeira,pt
motorista de ônibus,pt
motorista de ambulancia,pt
abstrato,pt
concreto,pt
absoluto,pt
relativo,pt
subjetivo,pt
objetivo,pt
racional,pt
irracional,pt
logico,pt
ilogico,pt
teorico,pt
pratico,pt
empirico,pt
cientifico,pt
academico,pt
intelectual,pt
cultural,pt
artistico,pt
literario,pt
poetico,pt
musical,pt
visual,pt
auditivo,pt
tatil,pt
olfativo,pt
gustativo,pt
sensorial,pt
perceptivo,pt
cognitivo,pt
mental,pt
espiritual,pt
emocional,pt
psicologico,pt
social,pt
politico,pt
economico,pt
financeiro,pt
comercial,pt
industrial,pt
tecnologico,pt
digital,pt
virtual,pt
analogico,pt
eletronico,pt
mecanico,pt
automatico,pt
manual,pt
fisico,pt
quimico,pt
biologico,pt
ecologico,pt
ambiental,pt
natural,pt
artificial,pt
sintetico,pt
organico,pt
inorganico,pt
mineral,pt
vegetal,pt
animal,pt
humano,pt
divino,pt
sagrado,pt
profano,pt
religioso,pt
laico,pt
ateu,pt
agnostico,pt
crente,pt
fiel,pt
infiel,pt
leal,pt
desleal,pt
honesto,pt
deshonesto,pt
sincero,pt
falso,pt
verdadeiro,pt
errado,pt
correto,pt
incorreto,pt
justo,pt
injusto,pt
moral,pt
imoral,pt
amoral,pt
etico,pt
antiatleta,pt
legal,pt
ilegal,pt
licito,pt
ilicito,pt
valido,pt
invalido,pt
legitimo,pt
ilegitimo,pt
oficial,pt
extraoficial,pt
publico,pt
privado,pt
particular,pt
coletivo,pt
individual,pt
pessoal,pt
impessoal,pt
universal,pt
particular,pt
geral,pt
especifico,pt
especial,pt
comum,pt
raro,pt
frequente,pt
infrequente,pt
ocasional,pt
esporadico,pt
constante,pt
variavel,pt
permanente,pt
temporario,pt
provisorio,pt
definitivo,pt
efemero,pt
duradouro,pt
eterno,pt
finito,pt
infinito,pt
limitado,pt
ilimitado,pt
restrito,pt
irrestrito,pt
amplo,pt
estreito,pt
largo,pt
comprido,pt
curto,pt
alto,pt
baixo,pt
profundo,pt
superficial,pt
externo,pt
interno,pt
interior,pt
exterior,pt
central,pt
periferico,pt
marginal,pt
urbano,pt
rural,pt
local,pt
regional,pt
nacional,pt
internacional,pt
global,pt
mundial,pt
cosmico,pt
espacial,pt
temporal,pt
cronologico,pt
historico,pt
atual,pt
moderno,pt
contemporaneo,pt
antigo,pt
velho,pt
jovem,pt
adulto,pt
infantil,pt
juvenil,pt
senil,pt
paterno,pt
materno,pt
fraterno,pt
familiar,pt
conjugal,pt
social,pt
comunitario,pt
cooperativo,pt
competitivo,pt
solidario,pt
egoista,pt
altruista,pt
generoso,pt
avarento,pt
pao-duro,pt
gastador,pt
economico,pt
prudente,pt
imprudente,pt
cauteloso,pt
ousado,pt
corajoso,pt
covarde,pt
timido,pt
extrovertido,pt
introvertido,pt
sociavel,pt
antissocial,pt
simpatico,pt
antipatico,pt
agradavel,pt
desagradavel,pt
amavel,pt
hostil,pt
amigavel,pt
agressivo,pt
pacifico,pt
calmo,pt
nervoso,pt
tranquilo,pt
agitado,pt
sereno,pt
ansioso,pt
paciente,pt
impaciente,pt
tolerante,pt
intolerante,pt
compreensivo,pt
insensivel,pt
sensivel,pt
frio,pt
caloroso,pt
afetuoso,pt
indiferente,pt
apatico,pt
entusiasta,pt
motivado,pt
desmotivado,pt
interessado,pt
desinteressado,pt
curioso,pt
indiferente,pt
atento,pt
distraido,pt
focado,pt
disperso,pt
organizado,pt
desorganizado,pt
metodico,pt
caotico,pt
limpo,pt
sujo,pt
puro,pt
poluido,pt
contaminado,pt
saudavel,pt
doente,pt
enfermo,pt
forte,pt
fraco,pt
resistente,pt
fragil,pt
duravel,pt
quebradiço,pt
solido,pt
liquido,pt
gasoso,pt
fluido,pt
viscoso,pt
denso,pt
pesado,pt
leve,pt
massa,pt
volume,pt
densidade,pt
pressao,pt
temperatura,pt
calor,pt
frio,pt
clima,pt
tempo,pt
atmosphere,pt
biosfera,pt
ecossistema,pt
habitat,pt
biodiversidade,pt
especie,pt
genero,pt
familia,pt
ordem,pt
classe,pt
filo,pt
reino,pt
organismo,pt
celula,pt
tecido,pt
orgao,pt
sistema,pt
esqueleto,pt
musculo,pt
pele,pt
sangue,pt
coracao,pt
pulmao,pt
cerebro,pt
estomago,pt
figado,pt
rim,pt
intestino,pt
osso,pt
cartilagem,pt
articulacao,pt
tendao,pt
nervo,pt
veia,pt
arteria,pt
capilar,pt
hormonio,pt
enzima,pt
proteina,pt
carboidrato,pt
lipidio,pt
vitamina,pt
mineral,pt
agua,pt
oxigenio,pt
carbono,pt
hidrogenio,pt
nitrogenio,pt
calcio,pt
ferro,pt
potassio,pt
sodio,pt
magnesio,pt
fosforo,pt
enxofre,pt
cloro,pt
zinco,pt
cobre,pt
iodo,pt
fluor,pt
aluminio,pt
chumbo,pt
mercurio,pt
ouro,pt
prata,pt
cobre,pt
bronze,pt
ferro,pt
aço,pt
metal,pt
plastico,pt
vidro,pt
ceramica,pt
madeira,pt
papel,pt
papelao,pt
tecido,pt
algodao,pt
la,pt
seda,pt
linho,pt
sintetico,pt
poliester,pt
nylon,pt
borracha,pt
couro,pt
pedra,pt
marmore,pt
granito,pt
calcario,pt
argila,pt
areia,pt
cascalho,pt
cimento,pt
concreto,pt
tijolo,pt
telha,pt
tinta,pt
verniz,pt
cola,pt
adesivo,pt
solvente,pt
combustivel,pt
gasolina,pt
diesel,pt
etanol,pt
biodiesel,pt
gas natural,pt
carvao,pt
lenha,pt
house,en
apartment,en
room,en
kitchen,en
bathroom,en
window,en
door,en
wall,en
ceiling,en
floor,en
table,en
chair,en
sofa,en
bed,en
closet,en
lamp,en
mirror,en
carpet,en
garage,en
garden,en
street,en
avenue,en
neighborhood,en
city,en
village,en
country,en
field,en
beach,en
mountain,en
forest,en
river,en
sea,en
island,en
world,en
earth,en
sky,en
sun,en
moon,en
star,en
cloud,en
rain,en
wind,en
storm,en
snow,en
fire,en
water,en
ice,en
sand,en
stone,en
animal,en
dog,en
cat,en
horse,en
bird,en
fish,en
cow,en
pig,en
chicken,en
insect,en
tree,en
flower,en
leaf,en
fruit,en
apple,en
banana,en
orange,en
grape,en
food,en
rice,en
bean,en
meat,en
bread,en
cheese,en
milk,en
coffee,en
tea,en
sugar,en
salt,en
family,en
father,en
mother,en
son,en
daughter,en
brother,en
sister,en
grandfather,en
friend,en
love,en
happiness,en
sadness,en
joy,en
fear,en
anger,en
hope,en
life,en
death,en
time,en
day,en
night,en
morning,en
afternoon,en
week,en
month,en
year,en
today,en
yesterday,en
tomorrow,en
moment,en
hour,en
minute,en
second,en
beautiful,en
information,en
inform,en
communication,en
community,en
education,en
university,en
student,en
teacher,en
school,en
college,en
science,en
technology,en
mathematics,en
physics,en
chemistry,en
biology,en
history,en
geography,en
philosophy,en
language,en
word,en
sentence,en
text,en
book,en
reading,en
writing,en
research,en
study,en
knowledge,en
learning,en
development,en
creation,en
project,en
system,en
program,en
computer,en
internet,en
software,en
hardware,en
code,en
application,en
file,en
data,en
network,en
security,en
energy,en
electricity,en
machine,en
engineering,en
industry,en
company,en
business,en
economy,en
market,en
money,en
product,en
service,en
customer,en
work,en
profession,en
career,en
experience,en
quality,en
result,en
process,en
method,en
analysis,en
problem,en
solution,en
decision,en
possibility,en
necessity,en
important,en
different,en
simple,en
complex,en
fast,en
slow,en
strong,en
weak,en
large,en
small,en
new,en
old,en
better,en
worse,en
develop,en
speak,en
say,en
tell,en
ask,en
answer,en
listen,en
hear,en
see,en
look,en
feel,en
think,en
remember,en
forget,en
know,en
understand,en
learn,en
teach,en
read,en
write,en
create,en
do,en
make,en
use,en
open,en
close,en
enter,en
leave,en
arrive,en
depart,en
walk,en
run,en
jump,en
swim,en
fly,en
travel,en
eat,en
drink,en
cook,en
buy,en
sell,en
pay,en
earn,en
lose,en
find,en
search,en
put,en
take,en
move,en
stop,en
start,en
finish,en
continue,en
change,en
grow,en
live,en
die,en
like,en
help,en
need,en
want,en
can,en
must,en
try,en
wait,en
decide,en
choose,en
allow,en
receive,en
send,en
show,en
follow,en
return,en
stay,en
keep,en
notice,en
solve,en
adaptation,en
organization,en
nation,en
situation,en
relation,en
production,en
translation,en
operation,en
preparation,en
presentation,en
construction,en
direction,en
function,en
expression,en
emotion,en
movement,en
thought,en
feeling,en
element,en
document,en
instrument,en
argument,en
example,en
model,en
form,en
part,en
line,en
point,en
number,en
group,en
order,en
place,en
question,en
reason,en
case,en
side,en
type,en
level,en
area,en
base,en
center,en
end,en
beginning,en
middle,en
low,en
high,en
inside,en
outside,en
near,en
far,en
right,en
left,en
together,en
alone,en
always,en
never,en
some,en
none,en
much,en
little,en
more,en
less,en
still,en
now,en
after,en
before,en
why,en
when,en
where,en
how,en
yes,en
no,en
lawyer,en
doctor,en
engineer,en
architect,en
journalist,en
psychologist,en
administrator,en
accountant,en
designer,en
programmer,en
analyst,en
consultant,en
director,en
manager,en
coordinator,en
supervisor,en
assistant,en
technician,en
specialist,en
researcher,en
scientist,en
writer,en
poet,en
artist,en
painter,en
sculptor,en
musician,en
singer,en
actor,en
actress,en
producer,en
editor,en
reviewer,en
translator,en
interpreter,en
photographer,en
videographer,en
illustrator,en
animator,en
developer,en
security analyst,en
network administrator,en
technical support,en
operator,en
mechanic,en
electrician,en
plumber,en
bricklayer,en
carpenter,en
locksmith,en
welder,en
surveyor,en
geologist,en
archaeologist,en
anthropologist,en
sociologist,en
historian,en
geographer,en
philosopher,en
economist,en
statistician,en
mathematician,en
physicist,en
chemist,en
biologist,en
biomedical,en
pharmacist,en
biochemist,en
biotechnologist,en
agronomist,en
veterinarian,en
ecologist,en
meteorologist,en
oceanographer,en
astronomer,en
pilot,en
copilot,en
flight attendant,en
air traffic controller,en
sailor,en
captain,en
helmsman,en
machinist,en
driver,en
truck driver,en
taxi driver,en
cyclist,en
postman,en
delivery person,en
attendant,en
receptionist,en
secretary,en
telephone operator,en
salesperson,en
sales consultant,en
commercial representative,en
account manager,en
real estate agent,en
insurance broker,en
auctioneer,en
merchant,en
entrepreneur,en
industrialist,en
farmer,en
fisherman,en
cook,en
chef,en
confectioner,en
baker,en
butcher,en
fishmonger,en
waiter,en
waitress,en
barman,en
barista,en
sommelier,en
nutritionist,en
dietitian,en
gastronomist,en
hotelier,en
tour guide,en
travel agent,en
event organizer,en
event promoter,en
hostess,en
professional model,en
fashion designer,en
seamstress,en
tailor,en
patternmaker,en
window dresser,en
visual merchandiser,en
fashion buyer,en
hairdresser,en
barber,en
manicurist,en
pedicurist,en
esthetician,en
makeup artist,en
visagist,en
massage therapist,en
physiotherapist,en
occupational therapist,en
speech therapist,en
psychopedagogist,en
neuropsychologist,en
psychiatrist,en
psychoanalyst,en
nurse,en
nursing technician,en
nursing assistant,en
paramedic,en
dentist,en
orthodontist,en
endodontist,en
periodontist,en
surgeon,en
anesthetist,en
pediatrician,en
gynecologist,en
obstetrician,en
cardiologist,en
dermatologist,en
neurologist,en
orthopedist,en
ophthalmologist,en
otolaryngologist,en
urologist,en
oncologist,en
endocrinologist,en
gastroenterologist,en
pulmonologist,en
nephrologist,en
hematologist,en
rheumatologist,en
infectious disease specialist,en
geriatrician,en
occupational doctor,en
forensic doctor,en
medical expert,en
judge,en
prosecutor,en
public defender,en
delegate,en
clerk,en
inspector,en
investigator,en
military police,en
civil police,en
federal police,en
municipal guard,en
firefighter,en
lifeguard,en
security guard,en
vigilante,en
doorman,en
janitor,en
cleaner,en
maid,en
housekeeper,en
butler,en
gardener,en
pool cleaner,en
car washer,en
gas station attendant,en
valet parking,en
collector,en
auditor,en
tax analyst,en
tax consultant,en
financial consultant,en
financial planner,en
investment analyst,en
trader,en
stockbroker,en
banker,en
cashier,en
treasurer,en
financial director,en
controller,en
cost analyst,en
billing clerk,en
administrative assistant,en
hr analyst,en
recruiter,en
headhunter,en
compensation analyst,en
training analyst,en
people manager,en
hr director,en
organizational psychologist,en
marketing analyst,en
social media analyst,en
traffic manager,en
copywriter,en
art director,en
strategic planner,en
branding analyst,en
product manager,en
brand manager,en
public relations,en
press officer,en
lobbyist,en
diplomat,en
ambassador,en
consul,en
international analyst,en
sworn translator,en
university professor,en
scientific researcher,en
pedagogical coordinator,en
school principal,en
educational advisor,en
education supervisor,en
student inspector,en
kindergarten teacher,en
elementary school teacher,en
high school teacher,en
language teacher,en
music teacher,en
dance teacher,en
theater teacher,en
driving instructor,en
flight instructor,en
pilates instructor,en
yoga instructor,en
personal trainer,en
physical trainer,en
soccer coach,en
coach,en
professional athlete,en
soccer player,en
basketball player,en
volleyball player,en
tennis player,en
swimmer,en
runner,en
marathon runner,en
professional cyclist,en
fighter,en
boxer,en
judoka,en
karateka,en
fencer,en
gymnast,en
surfer,en
skateboarder,en
race car driver,en
jockey,en
referee,en
linesman,en
timekeeper,en
sports commentator,en
sports journalist,en
announcer,en
narrator,en
tv presenter,en
reporter,en
anchor,en
radio host,en
sound designer,en
dj,en
music producer,en
sound engineer,en
sound technician,en
roadie,en
lighting designer,en
set designer,en
costume designer,en
dresser,en
scenic makeup artist,en
stagehand,en
ticket seller,en
usher,en
popcorn seller,en
ice cream man,en
confectioner worker,en
barbecue chef,en
pizza maker,en
sushi chef,en
crepe maker,en
griddle cook,en
counter clerk,en
shelf stocker,en
stock clerk,en
checker,en
sorter,en
packer,en
loader,en
general helper,en
bricklayer helper,en
reinforcing ironworker,en
formwork carpenter,en
paver,en
asphalt worker,en
backhoe operator,en
crane operator,en
forklift operator,en
bus driver,en
ambulance driver,en
abstract,en
concrete,en
absolute,en
relative,en
subjective,en
objective,en
rational,en
irrational,en
logical,en
illogical,en
theoretical,en
practical,en
empirical,en
scientific,en
academic,en
intellectual,en
cultural,en
artistic,en
literary,en
poetic,en
musical,en
visual,en
auditory,en
tactile,en
olfactory,en
gustatory,en
sensory,en
perceptive,en
cognitive,en
mental,en
spiritual,en
emotional,en
psychological,en
social,en
political,en
economic,en
financial,en
commercial,en
industrial,en
technological,en
digital,en
virtual,en
analog,en
electronic,en
mechanical,en
automatic,en
manual,en
physical,en
chemical,en
biological,en
ecological,en
environmental,en
natural,en
artificial,en
synthetic,en
organic,en
inorganic,en
mineral,en
vegetable,en
animal,en
human,en
divine,en
sacred,en
profane,en
religious,en
secular,en
atheist,en
agnostic,en
believer,en
faithful,en
faithless,en
loyal,en
disloyal,en
honest,en
dishonest,en
sincere,en
false,en
true,en
wrong,en
correct,en
incorrect,en
just,en
unjust,en
moral,en
immoral,en
amoral,en
ethical,en
unethical,en
legal,en
illegal,en
licit,en
illicit,en
valid,en
invalid,en
legitimate,en
illegitimate,en
official,en
unofficial,en
public,en
private,en
particular,en
collective,en
individual,en
personal,en
impersonal,en
universal,en
general,en
specific,en
special,en
common,en
rare,en
frequent,en
infrequent,en
occasional,en
sporadic,en
constant,en
variable,en
permanent,en
temporary,en
provisional,en
definitive,en
ephemeral,en
long-lasting,en
eternal,en
finite,en
infinite,en
limited,en
unlimited,en
restricted,en
unrestricted,en
ample,en
narrow,en
wide,en
long,en
short,en
high,en
low,en
deep,en
superficial,en
external,en
internal,en
interior,en
exterior,en
central,en
peripheral,en
marginal,en
urban,en
rural,en
local,en
regional,en
national,en
international,en
global,en
worldwide,en
cosmic,en
spatial,en
temporal,en
chronological,en
historical,en
current,en
modern,en
contemporary,en
ancient,en
old,en
young,en
adult,en
infantile,en
juvenile,en
senile,en
paternal,en
maternal,en
fraternal,en
familiar,en
marital,en
communitarian,en
cooperative,en
competitive,en
supportive,en
selfish,en
altruistic,en
generous,en
stingy,en
spendthrift,en
prudent,en
imprudent,en
cautious,en
bold,en
courageous,en
cowardly,en
timid,en
extroverted,en
introverted,en
sociable,en
antisocial,en
sympathetic,en
antipathetic,en
pleasant,en
unpleasant,en
amiable,en
hostile,en
friendly,en
aggressive,en
peaceful,en
calm,en
nervous,en
tranquil,en
agitated,en
serene,en
anxious,en
patient,en
impatient,en
tolerant,en
intolerant,en
understanding,en
insensitive,en
sensitive,en
cold,en
warm,en
affectionate,en
indifferent,en
apathetic,en
enthusiastic,en
motivated,en
demotivated,en
interested,en
disinterested,en
curious,en
attentive,en
distracted,en
focused,en
scattered,en
organized,en
disorganized,en
methodical,en
chaotic,en
clean,en
dirty,en
pure,en
polluted,en
contaminated,en
healthy,en
sick,en
ill,en
strong,en
weak,en
resistant,en
fragile,en
durable,en
brittle,en
solid,en
liquid,en
gaseous,en
fluid,en
viscous,en
dense,en
heavy,en
light,en
mass,en
volume,en
density,en
pressure,en
temperature,en
heat,en
cold,en
climate,en
weather,en
atmosphere,en
